gamma,seed,transition,g_plus_events_per_10000,target_mean_abs_error,target_mean_mc_tolerance,sampled_target_variance,mean_conditional_sampling_variance,soft_mean_bellman_residual,sampled_mean_bellman_residual,soft_mean_value_error,sampled_mean_value_error
0.95,5,100000,150.9,0.00025955556318701944,0.0022743496285268882,0.01572946436327366,0.014368517313278876,2.312964634635743e-17,0.013887555049431748,6.47630097698008e-17,0.03439526199629793
0.95,6,500,80.0,0.004365156988862827,0.02975778867991233,0.008225279599898813,0.012298972043309979,0.004448725219735469,0.022666597679051655,0.004449270930451006,0.015166082475759795
0.95,6,1000,130.0,0.00017781637017019736,0.021470515459314513,0.01341837281849847,0.012805084280240651,0.0008385582076738165,0.011891879907259368,0.0008385582082061105,0.013514143871447004
0.95,6,2500,152.0,0.002201003299923121,0.01359857106741059,0.015912719122465772,0.01284174549134836,2.087930068811472e-06,0.016109223072198576,2.0879300688531055e-06,0.033933729997122804
0.95,6,5000,130.0,0.0006567478065616986,0.0097177601953997,0.013829438556353622,0.013115953224346505,9.99978587203539e-10,0.019768084694890057,9.999786288369024e-10,0.040134816616649305
0.95,6,10000,133.0,0.00036172959195020227,0.00687956698904263,0.014025311770094286,0.013146789432423634,1.700029006457271e-16,0.009010531218005017,2.1163626406917047e-16,0.024575663659992628
0.95,6,25000,136.4,0.00016266336749568705,0.004380286414094322,0.014414961914091457,0.013324242409374512,2.312964634635743e-17,0.02529268424257282,6.47630097698008e-17,0.0268406837371474
0.95,6,50000,137.0,0.0003841510453722191,0.0031335624752557903,0.014382169278273214,0.013637796925459996,2.312964634635743e-17,0.006177348379134953,6.47630097698008e-17,0.01720985331806486
0.95,6,100000,145.29999999999998,0.0002767553458394509,0.002271446446740129,0.015046244878216517,0.014331858223356551,2.312964634635743e-17,0.020534955034854852,6.47630097698008e-17,0.029973085979578495
0.95,7,500,180.0,0.00409518181444659,0.030695591835589814,0.018361429495197135,0.013086379974126778,0.002969569766026361,0.02433707857938766,0.00296993158146008,0.02191717158686472
0.95,7,1000,130.0,0.0006415575617859728,0.02166846777429771,0.013367201898029441,0.013042291546827175,0.0005359124917376697,0.003186892396653526,0.0005359124920377758,0.00570025537647308
0.95,7,2500,144.0,0.0007048152915957243,0.013702132828304594,0.014788447754149558,0.013038086391979332,2.56151283176941e-06,0.021900596944862395,2.5615128318110434e-06,0.035144636488891635
0.95,7,5000,150.0,0.0015096017454078667,0.009710663478046696,0.015392609532248022,0.013096803497759709,2.1851234710545953e-10,0.00969173050925568,2.1851238873882295e-10,0.02750700996986849
0.95,7,10000,142.0,0.0007651963686721511,0.006877133815124074,0.014801694295583406,0.013137491530867502,3.469446951953614e-17,0.012732940002181748,7.632783294297951e-17,0.03817790076988899
0.95,7,25000,135.6,0.00012485776677512855,0.004379694832855257,0.014213280331062329,0.013320643631207666,2.312964634635743e-17,0.010216317585866429,6.47630097698008e-17,0.03394060896808148
0.95,7,50000,135.0,0.0006061490267686848,0.0031357230961003785,0.014185489362167939,0.013656610188079643,2.312964634635743e-17,0.014380999539593058,6.47630097698008e-17,0.019322384477787276
0.95,7,100000,143.2,0.0005610825817598183,0.0022712949292234804,0.014867058864155817,0.014329946265323043,2.312964634635743e-17,0.010460946272100152,6.47630097698008e-17,0.022648905178292822
0.95,8,500,140.0,0.00029101932731935565,0.030523925466317478,0.014131346730642326,0.012940417026018121,0.00400657781395384,0.01169239329113926,0.0040071002790902956,0.014261932415738999
0.95,8,1000,110.0,0.002237800567959622,0.021326077286999513,0.011233088887459703,0.012633377012529904,0.0006911912589515334,0.009817058215989723,0.000691191259430937,0.013030240035110585
0.95,8,2500,144.0,0.00123451190988174,0.013591407968546918,0.014818400586721427,0.012828220178297267,1.6150953143026965e-06,0.010923911149643225,1.6150953143443298e-06,0.029505115558172947
0.95,8,5000,134.0,0.000350220784531112,0.009710228845474313,0.01395813540226331,0.013095631143261304,1.6271474202744773e-09,0.01558661022045829,1.6271474619078408e-09,0.023340227386586487
0.95,8,10000,136.0,1.7856338286319218e-05,0.0068452481863616466,0.013993567180512813,0.013015950759135394,4.2789845740761244e-17,0.011337583557811602,8.442320916420461e-17,0.024060918491931028
0.95,8,25000,132.4,0.00049945169283961,0.00436163977036326,0.013877659194264674,0.013211042698898933,2.312964634635743e-17,0.00995940526394964,6.47630097698008e-17,0.024047488504638725
0.95,8,50000,142.4,0.00012567590904093845,0.0031330766119597986,0.014896756440964536,0.013633568133902067,2.312964634635743e-17,0.019158432988036215,6.47630097698008e-17,0.043319126113499806
0.95,8,100000,151.2,0.00026641339788306684,0.0022725487868151244,0.01570384327957742,0.014345772190152485,2.312964634635743e-17,0.014375085726070111,6.47630097698008e-17,0.034862812421303124
